Date,Brazil,China,India,Russia,South Africa,US
1/31/2020,0,9802,1,2,0,8
2/29/2020,2,79356,3,2,0,25
3/31/2020,5717,82279,1397,2337,1353,192079
4/30/2020,87187,83956,34863,106498,5647,1080974
5/31/2020,516137,84146,190609,405843,32683,1799145
6/30/2020,1412669,84785,585481,646929,151209,2642487
7/31/2020,2670451,87655,1695988,838461,493183,4566409
8/31/2020,3914829,89914,3691166,992402,627041,6025528
9/30/2020,4817365,90545,6312584,1170799,674339,7234446
10/31/2020,5537763,91366,8184082,1606267,725452,9170216
11/30/2020,6341965,92902,9462809,2275936,790004,13686941
12/31/2020,7681032,95963,10286709,3127347,1057161,20163970
