year,country,id,coffee_consum,coffee_import,GDP
2000,South Africa,1006,0,413,1.52E+11
2001,South Africa,1006,0,337,1.35E+11
2002,South Africa,1006,325,340,1.29E+11
2003,South Africa,1006,360,360,1.97E+11
2004,South Africa,1006,380,380,2.56E+11
2005,South Africa,1006,420,420,2.89E+11
2006,South Africa,1006,510,510,3.04E+11
2007,South Africa,1006,380,380,3.33E+11
2008,South Africa,1006,370,370,3.16E+11
2009,South Africa,1006,525,525,3.30E+11
2010,South Africa,1006,535,535,4.17E+11
2011,South Africa,1006,500,500,4.58E+11
2012,South Africa,1006,545,545,4.34E+11
2013,South Africa,1006,545,545,4.01E+11
2014,South Africa,1006,565,565,3.81E+11
2015,South Africa,1006,600,600,3.47E+11
2016,South Africa,1006,585,585,3.24E+11
2017,South Africa,1006,715,715,3.81E+11
2018,South Africa,1006,710,710,4.05E+11
2019,South Africa,1006,660,660,3.88E+11
2020,South Africa,1006,715,715,3.35E+11
