DATE,PCOFFOTMUSDM,confirmed_cases
1/1/2020,150.36,9927.00
2/1/2020,145.86,86027.00
3/1/2020,161.46,876334.00
4/1/2020,163.70,3275297.00
5/1/2020,155.93,6176663.00
6/1/2020,147.28,10469228.00
7/1/2020,151.50,17588289.00
8/1/2020,166.24,25531189.00
9/1/2020,169.05,34023684.00
10/1/2020,154.12,46138560.00
11/1/2020,154.48,63389491.00
12/1/2020,162.93,83760418.00
1/1/2021,165.28,103312102.00
2/1/2021,170.89,114568975.00
3/1/2021,169.97,129361686.00
4/1/2021,171.66,151891874.00
5/1/2021,189.65,171231654.00
6/1/2021,195.42,182707821.00
7/1/2021,208.08,198377914.00
8/1/2021,220.22,218276946.00
9/1/2021,229.48,234254966.00
10/1/2021,245.29,247197551.00
11/1/2021,263.51,262868430.00
12/1/2021,259.60,288335323.00
