id,country,year,import,consumption,production,export 
1001,Russia,2021,4150,4150,0,1062
1001,Russia,1990,0,0,0,0
1001,Russia,1991,0,0,0,0
1001,Russia,1992,1382,1377,0,5
1001,Russia,1993,1795,1795,0,0
1001,Russia,1994,1726,1712,0,14
1001,Russia,1995,1728,1650,0,78
1001,Russia,1996,1128,1063,0,65
1001,Russia,1997,2185,1857,0,328
1001,Russia,1998,1732,1647,0,85
1001,Russia,1999,1368,1352,0,16
1001,Russia,2000,1890,1863,0,27
1001,Russia,2001,3057,3032,0,25
1001,Russia,2002,3504,4050,0,53
1001,Russia,2003,3772,4065,0,93
1001,Russia,2004,3205,2570,0,129
1001,Russia,2005,3336,3585,0,151
1001,Russia,2006,3465,4195,0,244
1001,Russia,2007,4318,4270,0,340
1001,Russia,2008,4053,3325,0,421
1001,Russia,2009,3553,3945,0,440
1001,Russia,2010,4155,4355,0,455
1001,Russia,2011,4218,3865,0,463
1001,Russia,2012,4175,4130,0,479
1001,Russia,2013,4410,4230,0,762
1001,Russia,2014,4747,4050,0,726
1001,Russia,2015,4710,4395,0,864
1001,Russia,2016,5233,4740,0,794
1001,Russia,2017,5468,4465,0,956
1001,Russia,2018,5288,4945,0,1054
1001,Russia,2019,5917,4625,0,1097
1001,Russia,2020,4165,4165,0,1036
1002,United States,2021,26150,26400,35,2962
1002,United States,1990,21007,18298,229,825
1002,United States,1991,19840,18661,229,1010
1002,United States,1992,22939,18290,225,1377
1002,United States,1993,19329,19217,228,1720
1002,United States,1994,16171,17326,237,2572
1002,United States,1995,17107,17363,236,1841
1002,United States,1996,19445,18059,270,2049
1002,United States,1997,20343,17795,232,2446
1002,United States,1998,21030,18604,163,2447
1002,United States,1999,22746,19359,185,2168
1002,United States,2000,23767,18746,183,2055
1002,United States,2001,21415,19554,163,2056
1002,United States,2002,21639,19125,163,2192
1002,United States,2003,22760,20193,186,2798
1002,United States,2004,23184,20973,140,2626
1002,United States,2005,23042,20998,161,2452
1002,United States,2006,23709,20667,152,2721
1002,United States,2007,24219,21033,136,2707
1002,United States,2008,24277,21652,125,2861
1002,United States,2009,20870,21436,53,2802
1002,United States,2010,23110,21783,53,3191
1002,United States,2011,23825,22044,46,3728
1002,United States,2012,23700,22232,42,3384
1002,United States,2013,24915,23417,51,3248
1002,United States,2014,23995,23767,45,3361
1002,United States,2015,25185,24438,40,2958
1002,United States,2016,26470,25243,33,3175
1002,United States,2017,24775,26183,32,2930
1002,United States,2018,28020,26514,54,2902
1002,United States,2019,25060,27310,39,2842
1002,United States,2020,25525,25944,40,2962
1003,China,1990,188,0,0,0
1003,China,1991,249,0,0,0
1003,China,1992,303,0,0,0
1003,China,1993,227,0,0,0
1003,China,1994,229,0,0,0
1003,China,1995,154,0,0,0
1003,China,1996,365,0,0,0
1003,China,1997,205,0,0,0
1003,China,1998,232,0,0,0
1003,China,1999,238,0,0,0
1003,China,2000,239,0,0,0
1003,China,2001,297,0,0,0
1003,China,2002,224,117,324,431
1003,China,2003,299,156,386,529
1003,China,2004,300,222,361,439
1003,China,2005,370,172,365,563
1003,China,2006,415,226,428,617
1003,China,2007,480,164,433,749
1003,China,2008,477,338,555,694
1003,China,2009,658,1135,1173,696
1003,China,2010,984,1106,827,705
1003,China,2011,1080,1091,1090,1079
1003,China,2012,1561,1628,1535,1468
1003,China,2013,1682,2181,1947,1348
1003,China,2014,1889,2416,2125,1473
1003,China,2015,2958,2850,1900,2030
1003,China,2016,2542,2700,1950,1672
1003,China,2017,2615,2900,1950,1845
1003,China,2018,2625,3000,1925,1600
1003,China,2019,2935,3600,2000,1130
1003,China,2021,3350,4200,2000,1325
1003,China,2020,3804,4200,1800,1075
