year,Brazil,China,US,India,South Africa,Russia,brazil_growth,china_growth,us_growth,india_growth,sa_growth,russia_growth
1990,60402,0,73485,1402,0,0,0,0,0,0,0,0
1991,59602,0,74051,1255,0,0,-0.01,0,0.01,-0.10,0,0
1992,55194,0,71445,1039,0,9304,-0.07,0,-0.04,-0.17,0,0
1993,60256,0,74196,1057,0,12128,0.09,0,0.04,0.02,0,0.30
1994,61006,0,65878,792,0,11567,0.01,0,-0.11,-0.25,0,-0.05
1995,64814,0,65274,919,0,11148,0.06,0,-0.01,0.16,0,-0.04
1996,67073,0,67133,840,0,7182,0.03,0,0.03,-0.09,0,-0.36
1997,68862,0,65422,850,0,12632,0.03,0,-0.03,0.01,0,0.76
1998,73964,0,67650,785,0,11204,0.07,0,0.03,-0.08,0,-0.11
1999,74418,0,69387,770,0,9197,0.01,0,0.03,-0.02,0,-0.18
2000,75287,0,66475,908,0,12760,0.01,0,-0.04,0.18,0,0.39
2001,77401,0,68852,930,0,20910,0.03,0,0.04,0.02,0,0.64
2002,75418,91,66637,960,7065,27931,-0.03,0,-0.03,0.03,0,0.34
2003,79558,121,69631,976,7826,28229,0.05,0.33,0.04,0.02,0.11,0.01
2004,84239,171,71825,1005,8085,17847,0.06,0.41,0.03,0.03,0.03,-0.37
2005,85564,132,71179,1189,8936,25069,0.02,-0.23,-0.01,0.18,0.11,0.40
2006,88936,172,69352,901,10625,29335,0.04,0.30,-0.03,-0.24,0.19,0.17
2007,91526,124,69877,1069,7755,30070,0.03,-0.28,0.01,0.19,-0.27,0.03
2008,93906,255,71223,1012,7551,23415,0.03,1.06,0.02,-0.05,-0.03,-0.22
2009,97202,852,70052,1002,10500,27781,0.04,2.34,-0.02,-0.01,0.39,0.19
2010,99589,827,70495,997,10490,30669,0.02,-0.03,0.01,0.00,0.00,0.10
2011,101649,811,70881,934,9615,27218,0.02,-0.02,0.01,-0.06,-0.08,-0.11
2012,101055,1202,71028,869,10480,28881,-0.01,0.48,0.00,-0.07,0.09,0.06
2013,100547,1600,74104,914,10283,29580,-0.01,0.33,0.04,0.05,-0.02,0.02
2014,101089,1762,74738,919,10462,28321,0.01,0.10,0.01,0.01,0.02,-0.04
2015,102230,2066,76368,954,10909,30520,0.01,0.17,0.02,0.04,0.04,0.08
2016,104975,1946,78151,906,10446,32916,0.03,-0.06,0.02,-0.05,-0.04,0.08
2017,108309,2077,80563,908,12543,31006,0.03,0.07,0.03,0.00,0.20,-0.06
2018,111004,2139,81331,924,12456,34340,0.02,0.03,0.01,0.02,-0.01,0.11
2019,108976,2558,83262,856,11379,32118,-0.02,0.20,0.02,-0.07,-0.09,-0.06
2020,109938,2978,78857,855,12118,28923,0.01,0.16,-0.05,0.00,0.06,-0.10
2021,111580,2978,80243,876,12288,28819,0.01,0.00,0.02,0.02,0.01,0.00
