Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.931195987,-1.028281788,3.626041414,4.257462043,
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.594604415,6.399343416,4.720811389,3.923372435,4.978096763
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.383891955,4.975951506,0.626149149,2.302372515,
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.494563664,1.764634952,1.784049948,1.758565176,2.425006568
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,30.69531299,29.84358669,19.62860772,17.08121521,
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.068840361,1.966825578,2.45814158,1.091848027,1.777407838
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.617488089,1.966825578,3.068633793,-1.931081148,-2.079403179
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.489437796,2.43248789,1.207157934,1.431355982,
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.557689614,16.0525353,-2.814698077,-0.686772171,7.321106434
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.794050174,1.769412474,0.644803622,-0.705026635,3.022721197
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.441041448,1.482998972,1.955943027,-3.23338934,1.884439938
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.513525727,5.702070157,5.543621395,5.591996399,5.691074747
