Date,Brazil,China,India,Russia,South Africa,US
1/31/2021,9208521,100063,10757610,3808348,1453761,26316068
2/28/2021,10558091,100965,11112241,4198400,1513393,28718551
3/31/2021,12763392,101732,12221665,4494234,1548157,30532694
4/30/2021,14675104,102494,19164969,4750755,1581210,32423991
5/31/2021,16557888,103014,28175044,5013512,1665617,33345078
6/30/2021,18570296,103769,30411634,5449594,1973972,33745462
7/31/2021,19922146,105050,31655824,6185249,2447454,35065578
8/31/2021,20785196,107073,32810845,6820697,2777659,39353876
9/30/2021,21432362,108450,33766707,7401104,2902672,43503368
10/31/2021,21814625,109666,34285814,8377984,2922116,46009140
11/30/2021,22100143,111337,34596776,9468640,2968052,48560513
12/31/2021,22291839,115042,34861579,10320405,3458286,54742382
