"COUNTRY, AREA OR TERRITORY",year,Safely managed,Accessible on premises,Available when needed,Free from contamination,Piped,Non-piped
Afghanistan,2015,23.37620582,37.10361225,-,23.37620582,17.08394092,47.7670394
Afghanistan,2020,27.58895624,48.44188905,-,27.58895624,22.37862474,54.1603302
Albania,2015,70.59197092,81.04764292,70.59197092,95.85377196,81.15270521,15.86800378
Albania,2020,70.67453739,82.35801137,70.67453739,96.43983853,80.67845029,16.27424462
Algeria,2015,75.53437151,76.97196381,75.98388716,83.79525305,74.50157019,24.06577223
Algeria,2020,72.3814561,78.542901,72.3814561,84.86967244,71.85626992,27.56694088
American Samoa,2015,96.07226898,96.07226898,-,98.20949284,>99,<1
American Samoa,2020,98.36197279,98.53490955,-,98.36197279,>99,<1
Andorra,2015,90.63999778,>99,>99,90.63999778,>99,<1
Andorra,2020,90.64000336,>99,>99,90.64000336,>99,<1
Angola,2015,-,33.05043015,30.8728949,-,38.1597382,27.52580881
Angola,2020,-,39.05535961,30.92751094,-,42.44829728,24.00679026
Anguilla,2015,-,88.37398591,87.63656455,-,-,-
Anguilla,2017,-,88.37398591,87.63656455,-,-,-
Antigua and Barbuda,2015,-,74.76129388,89.87070405,-,94.31887013,2.420316149
Antigua and Barbuda,2017,-,74.76129388,89.87070405,-,94.31887013,2.420316149
Argentina,2015,-,97.32167306,-,-,96.41532985,2.551258292
Argentina,2020,-,-,-,-,-,-
Armenia,2015,84.12902976,98.15616984,91.13151358,84.12902976,97.37049728,2.182069419
Armenia,2020,86.91066001,>99,91.51457309,86.91066001,>99,<1
Aruba,2015,-,95.82921412,-,-,93.79268,4.076343381
Aruba,2016,-,95.82921412,-,-,93.79268,4.076343381
Australia,2015,-,97.43331154,95.87456777,-,91.16723026,8.802775409
Australia,2020,-,97.49110315,95.87438186,-,-,-
Austria,2015,98.90942251,>99,98.90942251,>99,-,-
Austria,2020,98.900642,>99,98.900642,>99,-,-
Azerbaijan,2015,84.99569481,87.03251557,-,88.80465145,81.25135386,12.17120253
Azerbaijan,2020,88.32276401,90.4376517,-,92.28578557,90.99184971,6.094307606
Bahamas,2015,-,97.93013444,-,-,97.28718536,1.599775141
Bahamas,2019,-,97.93013444,-,-,97.28718536,1.599775141
Bahrain,2015,98.98326213,98.98326213,>99,>99,-,-
Bahrain,2020,98.98326213,98.98326213,>99,>99,-,-
Bangladesh,2015,56.32891798,76.72611636,95.29615323,56.32891798,13.25576461,84.93382682
Bangladesh,2020,58.51187913,81.89450937,95.94245182,58.51187913,15.35449907,83.49988706
Barbados,2015,-,98.35934127,88.86774298,-,98.74193665,<1
Barbados,2020,-,98.39930018,88.9038459,-,98.78205099,<1
Belarus,2015,94.48513534,94.48513534,-,98.83257288,91.97293001,7.804267194
