id,year,country,logistics_index 
1002,2015,United States,3.92
1002,2016,United States,3.99
1002,2017,United States,3.99
1002,2018,United States,3.89
1002,2019,United States,3.89
1002,2020,United States,4.14
1004,2015,India,3.08
1004,2016,India,3.42
1004,2017,India,3.42
1004,2018,India,3.18
1004,2019,India,3.18
1004,2020,India,3.45
1003,2015,China,3.53
1003,2016,China,3.66
1003,2017,China,3.66
1003,2018,China,3.61
1003,2019,China,3.61
1003,2020,China,3.88
1005,2015,Brazil,2.94
1005,2016,Brazil,3.09
1005,2017,Brazil,3.09
1005,2018,Brazil,2.99
1005,2019,Brazil,2.99
1005,2020,Brazil,2.99
1006,2015,South Africa,3.43
1006,2016,South Africa,3.78
1006,2017,South Africa,3.78
1006,2018,South Africa,3.38
1006,2019,South Africa,3.38
1006,2020,South Africa,3.69
1001,2015,Russian Federation,2.69
1001,2016,Russian Federation,2.57
1001,2017,Russian Federation,2.57
1001,2018,Russian Federation,2.76
1001,2019,Russian Federation,2.76
1001,2020,Russian Federation,3.04
