id ,year,country,safe_water_access
1002,2015,United States,96.41326821
1002,2016,United States,96.59863984
1002,2017,United States,96.78265168
1002,2018,United States,96.96518791
1002,2019,United States,97.14624349
1002,2020,United States,97.32571774
1004,2015,India,50.74885582
1004,2016,India,50.9
1004,2017,India,51.9
1004,2018,India,52.09
1004,2019,India,55.08
1004,2020,India,56.07462388
1003,2015,China,99.97958333
1003,2016,China,99.97916667
1003,2017,China,99.97875
1003,2018,China,99.97833333
1003,2019,China,99.97791667
1003,2020,China,99.9775
1005,2015,Brazil,81.97630358
1005,2016,Brazil,82.69040002
1005,2017,Brazil,83.52582053
1005,2018,Brazil,84.2947419
1005,2019,Brazil,85.06008273
1005,2020,Brazil,85.76566655
1006,2015,South Africa,81.0566518
1006,2016,South Africa,82.4836684
1006,2017,South Africa,82.45704604
1006,2018,South Africa,83.43006112
1006,2019,South Africa,83.89394803
1006,2020,South Africa,84.25422429
1001,2015,Russian Federation,75.65238723
1001,2016,Russian Federation,75.73632103
1001,2017,Russian Federation,75.82369995
1001,2018,Russian Federation,75.91418623
1001,2019,Russian Federation,76.00770611
1001,2020,Russian Federation,76.10420617
